x,y
45,7.4
33.625,8.2
52.625,25.4
31,16.2
59.625,66.6
66.625,50
65.125,71.8
61.75,57.2
67,95.2
47,24
46.25,14.2
63,60
37.125,29.8
25.75,14
66.5,74.8
48.125,60.8
17.25,1.8
48.25,44.4
47,38.8
71.875,77
81.125,72.6
60.875,48.4
38.125,43
48.625,49.6
55.375,50.2
45.375,44.8
59.875,57.2
29.125,-13.8
48.75,48
71.5,83.2
59.625,51.6
76.5,81.2
60,71
63.75,63.8
50.125,28.6
14.875,-6
37.375,32.2
20.75,-33.8
76.125,74.6
81.5,99.4
59.75,58
53.875,42.2
40.75,45.4
55.375,42.2
67.375,36.6
51.375,24.2
48.125,51.2
54.875,60
65.375,68.2
55.125,79.2
59.75,36.4
37.75,39.6
57.875,32.8
37.5,23.6
69.625,79.6
73.75,85.6
62.25,68
46.5,43
79.125,60
58.875,56.2
53.875,36.2
37.5,25
91.625,112.6
73.125,81.4
21.25,34.6
47.375,30.8
44,60
75.625,98.4
38.25,7
38.125,31.2
50.5,34.6
32.5,17.2
33.375,5.6
69.125,66
78.625,60.6
33.75,36.4
71.625,80
24.75,25.4
26.375,43
66.875,87
74.875,77.4
70,80.4
38.875,4.6
56.125,71.6
62.125,48
41.25,36.4
80.125,109.6
53.875,44.4
80.875,84
62.375,60.6
55.5,18.6
75.375,77.4
47.375,37.6
44.25,27.2
57.875,61.8
97.125,97.6
44.125,58
70.25,80.4
17.375,26.4
45,35
54.125,53.4
47.625,44.8
46.125,53.8
75.5,69.4
88.125,96.6
52.875,62.6
24.375,38
44.5,21.2
48,32
65,63.6
40.625,2.2
59.875,53.2
85.25,97.2
37.25,11
19.625,16
61.875,94.8
35.375,-17
62.5,64.8
47.5,28
21.75,9
56.75,60.2
30.125,19.2
34.75,15.8
43.375,13.6
64.5,84.2
54.375,20.8
33.625,8.8
36.375,13.2
40.125,35.4
25.75,12.6
48.625,62.8
58,61
52,32.6
54.125,53
33.75,4
57.375,64.4
79.25,68.6
62.375,36.8
59.75,58.8
28.875,11.4
61.5,80.2
64.375,59.8
26,0.2
41.625,31.4
30.875,14.4
33.875,7
67.75,60
61.75,35.8
26.5,20.4
68.75,85.8
31.25,8
69.625,81
59,55.6
35.5,19
38.25,43.6
54.125,58
71.75,100.8
61.375,56
41.375,-0.6
62.5,59.8
20.375,27.4
49.375,64
72.125,90
60.75,64.4
58.25,78.6
70.25,51.8
24,19.6
62.75,68.8
25.875,14
43.75,43
73,79.8
73.75,54.2
72.125,97.4
57.625,40.6
57.625,47.8
73.875,68.4
49.75,50
32.625,13
75,73.4
53.125,25.4
36,19
48.625,55
55.25,51.8
46.5,15.2
29,9.2
47.375,56.2
49.25,31.8
43.625,25.8
58.125,64.4
65,63.8
60.25,45.4
44.875,43
44.5,42.8
48.125,16.8
99.875,98.8
57.125,42.6
32.25,25.6
97.375,97.6
47.125,48.2
66.875,85.2
85.75,82.8
38.75,57.4
42.75,18.6
44,20.8
81,104.2
95.75,94.8
43.625,47.4
54.375,73.6
78.625,100
74.625,85.6
55.125,26.8
54,50
35.25,4.4
64.375,64.6
60.375,50.6
80.125,58
44.5,52.4
36.125,9.6
81.625,99.4
42.5,35
67.875,59.2
67.25,67.2
44.625,68.6
42,38
52.75,62
61.125,77.8
72,46.8
30,-7.2
41.25,18.4
34.125,-19
62.875,64
52.5,47
69.375,66.8
49.125,40
70.875,57.4
30.375,-0.8
65.625,64.2
77.5,101
76.375,87.8
28.625,20.8
38.375,6.6
26.625,30.4
28.5,20.8
64.625,61.6
44.25,31.6
70.375,51
60.875,82
26.125,27.2
53,56.8
43.75,41.4
88,91
67.375,76.2
41.75,24
58.625,60.2
54.875,71.8
76.375,78.6
50.75,59
54.875,49.4
27.25,31
46.25,38
70.25,70
40.875,12.4
64.625,59.2
41.875,44.8
34.25,13.8
80.125,107.2
78.25,87.2
46.125,29.4
38.875,16.2
39.375,29.4
59.75,89.8
80.875,105.4
33,25.4
25.375,-5
57.875,62.4
49.5,73.8
37,15
63.25,79.8
56.5,42.2
55.625,49.2
43,25.8
81.375,55
57.375,35.8
82.125,83.6
63.625,31.8
45.375,26.4
47.375,33.8
57,62.6
48.625,27.2
54.75,40.4
41.125,19.6
51.625,34.8
62.5,57.6
57.5,52.4
70,63.4
65.625,66
47,32.4
23.25,23
70,79.2
68.125,60.6
56.375,53
43.875,28.2
80.125,68.4
56,41.2
76,78
85.375,85.8
53.25,55
74.75,80
54.125,49.6
5.875,-4.8
61.5,46
61.375,47.8
88,86.2
41,35.2
43,15.6
55,31.8
33.375,4
37.25,26.4
54,33.8
50.625,64.2
50.25,46.2
61.25,57
45.375,-11.4
59.375,50.8
48.75,41.2
87.875,101.8
66.875,39
60.375,49.2
32.125,18.6
62.25,49.4
26.75,30.8
80.5,78.6
77.375,68.2
68.625,40.8
33.125,12.2
29.625,-16.2
69.75,99.8
68.25,75.2
71.875,28.6
73,72.4
37.5,21.2
76.875,96.6
45.125,42.8
59,43.6
66,73.2
29.75,3.4
50.375,51.2
54,42
66.75,52.2
61.25,63
51.875,51.8
39.375,24
82.125,93.6
71.375,87.6
58.125,73.4
94.25,89.2
73.75,68.4
97.25,128.6
60.875,76.8
32.5,13
47,38.8
64.125,64.8
58.5,55.4
58.875,42.6
48.875,42.8
57,74.6
53.25,36.2
55.625,35.6
57.375,47.2
54.625,73.8
55.625,38.2
36.75,3.2
42.875,4.8
45.625,36.6
50.25,49
73.125,96.8
30.625,4.4
48.125,45.8
30.625,-3.2
59.625,71.6
51.375,16.2
74.625,83.6
66.625,55.4
33.875,14.6
53.5,61
37.875,21
32.75,18.2
69,67.8
74.625,93.2
42.625,55.6
61.75,38
46.625,45.4
22.875,7.6
68.125,60.4
65.375,55.2
73.5,52.2
41.5,47.8
65.125,73.8
55.375,50.6
61.5,85.2
47,51.2
61.125,47
77.125,83.4
69.125,43
61.625,52.6
46.625,22.8
52,50.2
41.625,9
44.375,35.4
69,62.8
64.375,42.8
49.375,39.6
52.625,72.6
97.75,115
55.75,47.8
69.625,80.2
31.875,14
52.375,14.2
60.75,36.2
46.125,54.6
52.25,61
24.25,25.8
37.375,24.4
94.5,104.8
74.125,87
53.875,52.2
37,35
39.375,1.8
54,51.8
37.5,12.2
43.875,37
73.625,56.6
58.75,65.2
48.625,58.4
74.625,70.4
52.25,46
77.5,67
77.625,74
55.75,59.8
76.625,78.8
57.25,38.6
66.75,83
29,16.4
42.125,48.6
28.375,5.2
74.5,80.8
50.75,47.8
50.875,38.2
61.25,83.8
83.625,93
46.625,20.8
52.125,50.4
67.625,46.6
63.625,61.4
52.25,59.8
64.625,86.2
33.625,0.6
64,61.8
36,-17.2
44.75,30
61.75,74.2
33.125,13.4
46.625,41.4
52.375,47
72.375,72.8
38.375,3.6
60.25,40.8
21.625,4.4
49.875,28.8
60.75,90.6
24.625,12.4
46.375,29.8
38.625,25.8
58.875,24.2
63.875,55.2
91.625,80.8
48,18.8
29.625,22.8
75.625,63.2
67,67
68.75,76.2
64.75,60.8
78.625,99.2
24.375,7
41.375,21.6
89.25,84.8
97.375,82.6
35,12.6
65.25,69
76.625,86.2
62,73.8
62.625,70.4
70.625,91
71,69.4
58.375,69.2
61.25,60.2
60.375,50.8
48.375,26.6
33.125,30.4
82.375,80.4
47.125,39.2
117.25,111.8
61,46.6
42.875,36.4
34.375,19
27.375,58.6
51.125,40.6
23.625,-7.6
54.25,45.4
69.75,68.2
48.125,36
41.5,29
61.125,73
49.25,34.6
50.875,52
107.75,100.4
73.5,78.8
80.25,85.6
54.25,27.6
54.125,54.4
65.25,67.6
58.375,64.6
60.625,50.8
42.875,34.6
60.5,55
58.625,43.4
39,28.6
64.75,90.4
70,38.2
46.875,59.6
51.375,7
66.625,82.4
55.5,47.8
44.125,33.4
43.625,33.8
55,67.8
65,69.4
36.75,-17.2
55.125,47.4
55.125,58.2
59.375,78.2
43.875,54
52.5,24
17.5,2.2
29.25,6.4
27.375,32.2
46.25,40
67.875,27.2
36.5,18.2
42.625,18.8
51.75,52.2
39.5,29.4
56.625,39.4
59.5,67.2
49.625,62.2
41.25,46
34.875,7.8
25.25,38
63.125,64.6
57.875,27.2
65.125,75.8
68,56
40.75,16.2
76.25,83.4
81.375,93.6
45,41.4
30.25,11
70.375,71.2
45.625,44.8
46.875,34.6
79.875,64.4
51.25,34.2
23.125,9.4
52.75,44.6
48.875,39.4
57.125,60.6
26.5,13.4
52.25,57
69.75,73.8
71.5,84.8
37.75,18
70.75,67.2
66,89.2
51.125,28.8
46.375,40.6
88,80.6
50.125,40.6
58.75,47.4
45.125,38.2
48.375,28.8
56.75,55.2
33.25,3.6
46.375,42
58.375,43.4
40.5,26.6
45.875,47
48,44.6
73.375,90.4
31.375,13.8
29.25,44.4
50.5,29.6
44.25,15.6
34.375,20.2
44.25,11.2
50.5,48.4
70.375,97.8
78.75,41.4
55.375,70.2
50.75,72.8
68.375,54
46.375,20.4
26.875,-9.4
30.25,36.2
54.25,20.2
45.5,38
32.625,43.4
41.25,15
51.5,51.4
44.625,33.6
81.75,81.6
44.375,30
34.5,16.6
63.5,51.2
43.75,42
36.375,47.8
29.625,16
65.625,66.8
46.75,38.6
62.75,69
50.75,30.6
37.5,35.2
59.125,73.6
54.75,57.8
65.375,49
36.75,34.4
55,49.4
