x,y
33.25,33.6
55.25,37.4
43.625,14.6
33.25,15
54.125,45.6
65.375,55.8
59.875,48.8
33.375,4.4
88.125,101
42,56.2
50.5,40.8
60.875,37.8
62.625,54.2
54.875,45.2
83,77.4
57.875,49.6
40.75,53.2
49.125,63.8
51.25,21.2
40.25,54.2
39.75,32.6
52.25,23.6
52.5,38.6
85.5,79.2
66.375,92.4
67,58.8
42.625,14.6
40.625,11.6
90.375,102.6
38,46.6
33.625,2.6
74,66.8
40.875,30.6
57.875,47
58.5,48.6
39.375,50.4
34.625,20.6
31.25,34.6
57.5,80
46.5,61.8
64.125,56.4
52.375,44.2
63.125,36.2
80.125,71.6
77.75,70.2
65,55.6
50.5,21
32.5,36.4
39.75,33.4
31.25,36.4
54,46
65.75,92.4
55.5,28
53.5,45.4
59.375,80.2
65.75,56.4
93.625,94.6
69,61.8
28.375,-1.8
51.375,23.6
86.25,98.4
64.625,91.2
87.875,101.4
23.625,-3
44.125,59
80.875,74.2
38.125,32.6
40.375,10.6
58.875,81.2
35,21.6
37.625,23.6
61.875,36.2
64.75,88.6
77.875,72
45.625,15.8
31.125,13.2
47.625,65.4
39.125,51.8
63.75,56.4
26.625,1.6
84.125,79
33.875,40.4
64.125,93.2
51.75,41
77.25,69.8
37.5,6.6
54.125,38.2
70,124
62,51.6
58.875,38
30.625,34.2
35.375,19.6
63.5,35
76.5,130.8
38.875,31.2
40.25,31.4
56.125,39
34.375,17
32.625,3.8
79.375,71.8
64.25,92.8
34,17.8
60.625,50.8
29.5,9.8
89.375,101.6
39.625,29.8
43.125,56.2
52.25,68.8
43.25,58.2
41.5,53.6
53.875,44.4
34.875,20.6
64.875,54.8
64,53.8
62.5,36.4
73,64.2
48.5,20
51.25,41.2
66,59
82.25,73.4
45.25,15.2
75.875,68.4
36.625,25.8
67,58
52.5,39.4
58.25,28.8
41,10.4
31,2.2
52.25,39.4
24.625,-0.4
33.625,3.8
56.75,77
50.625,41.2
57.25,48.6
62.125,51.8
49.5,22
65.125,55.6
42.5,13.4
52.125,70.6
60.875,50.6
41.375,33.2
74.75,67.8
69.5,120.8
70.5,63.2
37.625,33
64.75,55.4
49.75,19.8
37.875,26.8
74.25,68.2
63.75,36.4
60.875,53.2
93.375,87.4
36.125,20.8
18.375,-13.4
18.75,-10.8
63.125,55.6
46.875,17.6
63.25,52.6
55.875,77.2
63.875,35
50.75,39.8
27.75,4.6
39.125,31.4
81.875,76.2
41.25,32.6
61.125,83.8
35,43.8
65,56.2
38.875,48.8
33.625,4.2
64.75,90
58.125,79.2
49.375,65.8
73.875,67.2
69.125,58.8
67.875,60
51.5,40.6
61.625,54.4
40.125,11.6
34.75,4
48.25,20.2
35.625,23.4
55.25,76
63.625,54.8
69.625,63
62.875,52
64.125,90.4
49.125,21.4
45.375,14.8
66.25,59.4
39.25,27.2
26.625,2.2
70.875,64.4
44.375,59
22.625,-7.2
50.875,41.4
51.875,40.6
76.25,68.6
79.625,72.2
61.75,53.8
34.125,44.2
50.75,41.8
56.625,48.6
50.75,41.4
59.625,50.2
24.25,-5.8
54.375,38.8
66,93.4
58.125,49
78.5,71.6
55.75,76
69.375,61.6
50.625,22.4
19.625,-11.2
38,33
18.625,-13.8
79.5,72.8
87.375,100
57.75,49.2
52.375,40.6
37.875,49.2
57.625,38.2
63,37
50.5,20.6
40.625,52.8
50.25,67.2
70,61.8
57.625,80.2
55.75,38.6
33.25,40.8
58.125,28.6
39.75,30
64.5,90
66.625,91.2
56.875,79.2
51.875,39
72.625,64.2
63.625,55.2
51.25,41.8
38.375,24.6
91.75,104.2
73.25,65.6
30.375,38.2
54.5,46
44.75,60.2
65.625,93.6
37,8.2
34.5,33.2
50.875,39.6
34.875,19.4
33.5,3.8
72,63.8
73,65.8
32.375,36.4
75.625,67.4
29.75,35.8
31.25,36.2
65.25,90
78.25,70.6
65.25,90.4
33.5,3
53.875,71.6
63.875,56.4
38.125,31.6
86.375,100
54.375,45.6
85.625,80.4
64.375,56.6
51,22.4
75.25,68.8
50.75,40.8
40.625,31.6
63.75,55.6
98.75,94
40.25,53.2
64.625,87.8
30.75,35.6
41.375,32.8
59.625,48.6
50.125,41.2
43.5,57.2
75.375,69.4
91.75,97.2
49.125,67
31.125,36.6
44.125,16.2
50.75,41.6
63.5,54.4
40.125,10.4
59.125,50
87.25,100.8
35.75,7
27.5,3
59.125,93
27,-3.4
67.5,59.4
49,18.4
27.75,3.2
63.375,53
33.625,17.4
33.75,16
42.5,12.6
62,94.2
50.375,20.2
29.125,7.2
38.75,8.8
37.625,24
28.875,9
46.25,62.4
59.625,51.4
52.5,41
60.5,52.2
29.5,-0.6
54.875,74.2
76.875,70.2
61.25,35.2
63.125,55.4
28.75,8.2
57.125,77.6
64.125,56
26.875,4
40.375,28.6
31.5,14.4
35,5.2
68.625,59.4
58.625,31
33,13.6
64,93.8
29.5,10.8
65,89.8
60,50.4
36.125,24.2
36.75,47.4
49.5,67.2
64.75,90.8
60.5,51.8
35.25,5.4
64.875,56.6
31.625,36
48.625,66.8
66.375,91.4
69.125,61
59,80.4
67.25,59.2
34,17.2
69.5,62.6
31.75,13
40,52.4
77.25,71.2
66.75,58
66.25,91.6
54.125,37.8
58.375,48.6
73.375,66.2
53.625,44.2
32.25,12.8
73.625,64
47.5,20
34.875,18.2
45.75,59.2
55.125,43.6
43.375,13
27,4
44.75,60.2
49.75,21.4
41.25,30.8
55.875,76.2
63.625,54.8
61.625,51.6
50,40.8
50.5,41
46.125,18.6
96.75,95.6
53.75,43
37,22.2
98.875,91.8
40.25,53
64.375,90.8
85.625,81
42.25,55
44.875,16.6
43.625,14
90,101.4
93.75,95.8
43,58.2
52.25,70.6
86.625,99.2
77.375,70.6
57,28.4
55.5,46.4
34.25,4.2
68.625,59.6
55,44.8
77.625,71.8
42.75,56.4
35.25,6
86.875,99.8
40.25,31.8
62.5,52.8
71.25,63.6
45.75,58.8
41.625,32.4
52.875,71.2
57.375,79.4
67.5,60
26.25,-3.6
42.125,10.8
25.25,-6
66.75,59.6
54.625,44.2
74.125,65.2
52.5,39.2
70,62.8
32.875,3.4
68,58.4
89.375,99.2
83,77
30.625,12.4
35.625,5
31.5,36.2
34.875,18.4
70.625,63.6
39.5,34
67.625,60.8
62.375,86
30.625,37
49.5,64.2
37.875,33.6
86.875,98
65.25,91.8
37.25,22.6
56.25,46.8
49,65.6
77,69.4
45.625,60.8
56.875,48.4
29.875,34.8
50.875,40.6
75.625,68
42,10.8
65.25,58.2
42.25,54.4
33.875,18.6
88.375,99.4
86.625,81.8
40.625,32.2
34.125,20.4
39.375,30.2
58.75,93.8
88.375,101.4
35.125,18.2
23.5,-7.6
64.875,56
48.75,65
34.25,18
59.25,79.6
57.125,39.8
56.25,47.6
41.375,30.4
79.25,71.8
54.75,39.8
83.875,78.4
61.625,37.6
37.875,33.6
51.25,39.6
61.875,53.8
52.75,23.4
57.75,39
43.375,14
50.375,40.2
61.25,51.6
55.625,47
73.625,66.6
69.125,60.6
40.125,28.6
32.25,15.4
61.625,87
71.875,63.8
58.625,49
40.375,30.8
77.75,72.2
54.75,40.2
76.625,69.4
83.625,76.6
56.625,47.4
80,73.8
53.75,45.2
18,-12.8
58.5,50.2
61.125,53.2
91.875,86.4
40.75,32.4
42.375,13
58.25,29.4
30,0.8
37.125,24.2
57.375,39.6
50.625,65.8
52,38.8
60.625,52.4
40.375,10.4
60.125,51.4
52.375,44
87.375,99.8
62.75,36
61.625,51.4
35,19
62.375,54.2
32.375,34.8
82.875,76.4
73.75,66.8
61.25,37.2
32,15.8
22.375,-8.8
64.5,92.4
71.625,64.2
64,36.4
75,66.2
34.5,16.8
89.25,100.8
52.5,43.2
54.875,45.6
61.375,83.6
30,12.2
50.375,40.6
51.875,42.2
67.875,60
63.375,56.4
54.25,44
39.25,26
87.875,98.2
64.75,93.4
58.125,78.2
96.25,92
73.625,65.4
96.5,133
56.375,78
32.25,14
51.625,40.2
65.125,57.2
65,57.8
57.125,48.8
53.375,42.8
54.125,74.6
52.25,42.2
59.75,38.8
58.75,47.4
53,72
54.625,39.4
36.5,5.8
37.5,9
40.125,33
50.5,40.2
65.25,92.8
31.25,1.4
53.5,44.2
27.375,-4.2
56.875,79.2
51.875,23
80.125,74
65.75,57.4
31.5,11.4
49.5,67.8
37,23.2
32.875,16.8
72,65
66.375,91
45.375,58.2
59.5,37.6
50.875,42
25.375,1.2
66.875,58.8
62.5,54.6
71.5,65.2
43.625,56.8
59.125,80.4
56.5,46
61.125,84.6
42.875,56.6
62,53
79.25,72.8
62.75,37.4
61.375,51.6
49.75,21.8
54.75,39
43.625,15
38.875,26.4
68.875,59
61.625,32.2
53,43.2
54.5,75.4
97.375,109.4
56.875,47.8
62.25,86
32.875,17
48.375,19.6
55.875,37.8
44.875,57.6
49.5,65.6
30.5,35.4
41,31
93.25,105.6
64.5,93.4
55.75,46.4
37.875,33.8
34.5,4
57,46.8
38.375,9.4
39.75,30.8
72.75,66.4
58,81.6
46.25,62.2
70.625,62.4
54.875,47
77.25,69
78.5,72
51.75,71.4
81.875,73
55.25,38.8
64.25,92.6
31.875,15.2
42.25,55.8
28.5,7
79,72.2
56.125,48
53.625,45
59.875,82.8
87.625,99.8
45.625,14.8
54.25,45
64,56.8
62.875,55.8
48.75,64.8
63.25,86.8
32.125,3
60.625,50.6
28.875,-0.8
40.5,33.6
55.25,75.8
32.375,13.4
51.375,39.8
52.25,42.6
77.25,69.2
36.875,8
54.625,39
23.25,-4.2
50,22
60.875,91.8
25.375,2.4
41,32
37.5,24.6
59.875,32.4
60,50.2
91.125,86
50.625,20.2
36.125,22
70.75,64.4
68,60.6
66.5,58
66.125,58.8
87.875,99.6
23.375,-5.8
38.875,30
91.5,86.8
95.5,91.4
32.375,16
66.875,59.4
80.625,74.2
58.75,80.2
68.25,61
65.25,93.4
74.125,66.6
52.875,72.6
62.625,54.6
63.25,54.4
46.875,18.2
32.25,35.6
82.875,77.2
50.75,39.6
112.625,125.2
58.375,49.4
36.875,34.4
34.75,21.6
34.625,44.4
50.375,39.2
22.5,-7.2
54.875,45.8
73.125,67.2
54,44.4
37.5,32.4
62.25,84.4
50.625,41.2
56.125,47.4
98.625,95
81.5,74.6
85.75,80.2
53.625,24.2
56.375,47.2
70.625,62.4
54.75,74.2
58.375,49.8
39.125,30.8
58.875,49.6
53.875,45.6
40.5,30.8
59.25,94.6
63.125,35.6
46,58.8
47,18.2
61.25,85.8
51.875,43
37.5,33.6
39.75,31.2
51.625,67.8
68.875,61.4
27.5,-4.8
53.875,43
57.75,49.6
59.875,80.6
44.25,58.8
53.75,24.2
22.375,-4.2
31.375,13.4
29.375,34.6
52.25,43.4
63.5,35.4
34.125,16.4
48.125,20.6
54.25,45
39.375,30.8
55.125,40
53.625,74.4
53.125,70.4
40.375,50.2
35.5,6.8
30,34
65.625,58.4
56.125,25.6
61.75,87
66.5,58.2
44.875,15.2
82.125,74.8
90,100.8
51,40.8
28.375,7.6
74.75,66
51.375,40.2
52.75,43.4
79.625,71.4
52.75,42.6
24.75,0.8
52.5,40.4
51.5,38.8
62.5,51.6
31.125,14.2
52.5,42.6
76.125,69.2
64.625,93.8
34,16.2
72.25,63.4
65,90.8
51.625,24.2
52.875,43.2
85.875,80
53.75,42
55.5,44.4
51.5,42.6
51,22.8
60.25,50.4
32.75,1.4
52.25,43
55.75,44.8
38.5,32.8
42.875,55
50.375,40
65.5,92.8
31.25,12.8
30.125,36.2
51.5,22.6
42.875,12.2
36.625,25.2
42.125,12
53.625,40.8
64.875,91.4
63.5,36.8
55,72.8
52.625,73.2
67.75,59
47.875,18.2
19.75,-10.4
32.25,35.4
55.625,26.8
39.5,33.6
38.375,50.2
42.5,14
56.625,47.2
40.875,32.2
85.75,80.6
37.25,32.6
33.875,19
60.75,50.4
37.375,46.4
34.5,44.2
31.875,14.4
67.75,58.8
50.875,39.2
55.5,74.6
53.5,24.6
38.25,32.4
60,81
59.625,49
66.625,59.2
36.75,33.4
55.75,45.6
